19th-Century Music,http://www.ucpressjournals.com/journal.asp?j=ncm
A & WMA environmental compliance news,
a journal for the interdisciplinary study of literature,http://www.umanitoba.ca/publications/mosaic/
AACN Nursing Scan in Critical Care,
AAOHN Journal,http://www.aaohnjournal.com/default.asp
Abbia: Cameroon Cultural Review,
Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,
Abstract and Applied Analysis,http://www.hindawi.com/journals/aaa/
Academy of Management Journal,http://journals.aomonline.org/amj/
Academy of Management Review,http://www.aom.pace.edu/amr/
Accounts of Chemical Research,http://pubs.acs.org/journal/achre4
ACIMED,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1024-9435&lng=en&nrm=iso
ACS Applied Materials & Interfaces,http://pubs.acs.org/journal/aamick
ACS Catalysis,http://pubs.acs.org/journal/accacs
ACS Chemical Biology,http://pubs.acs.org/journal/acbcct
ACS Chemical Neuroscience,http://pubs.acs.org/journals/acncdm
ACS Medicinal Chemistry Letters,http://pubs.acs.org/journal/amclct
Acta Anaesthesiologica Scandinavica,http://www.wiley.com/bw/submit.asp?ref=0001-5172
Acta Applicandae Mathematicae,
Acta Archaeologica,http://www.blackwellpublishing.com/journal.asp?ref=0065-101x
Acta Astronomica,http://acta.astrouw.edu.pl/
Acta Biochimica et Biophysica Sinica,http://abbs.oxfordjournals.org/
Acta Cardiologica,http://www.actacardiologica.be
Acta Chimica Slovenica,http://acta.chem-soc.si/
Acta Classica,http://www.journals.co.za/ej/ejour_classic.html
Acta Crystallographica Section A: Foundations of Crystallography,http://journals.iucr.org/a/journalhomepage.html
Acta Crystallographica Section B: Structural Science,http://journals.iucr.org/b/journalhomepage.html
Acta Crystallographica Section C: Crystal Structure Communications,http://journals.iucr.org/c/journalhomepage.html
Acta Crystallographica Section D: Biological Crystallography,http://journals.iucr.org/d/journalhomepage.html
Acta Crystallographica Section E: Structure Reports Online,http://journals.iucr.org/e/journalhomepage.html
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,http://journals.iucr.org/f/journalhomepage.html
Acta Entomologica Musei Nationalis Pragae,http://www.aemnp.eu/
Acta Germanica,http://journals.sabinet.co.za/ej/ejour_german.html
Acta Informatica,http://www.springer.com/computer/theoretical+computer+science/journal/236
Acta Linguistica Hungarica,http://www.akademiai.com/content/119702/
Acta Mathematica,http://www.mittag-leffler.se/publications/acta/
Acta Mathematica Hungarica,
